# 143GHz 217GHz 353GHz
9.929696321487426758e-01 9.960917830467224121e-01 9.964179396629333496e-01
9.928606748580932617e-01 9.960346221923828125e-01 9.963622093200683594e-01
9.927509427070617676e-01 9.959771633148193359e-01 9.963061213493347168e-01
9.926404356956481934e-01 9.959193468093872070e-01 9.962496161460876465e-01
9.925291538238525391e-01 9.958612322807312012e-01 9.961926937103271484e-01
9.924170970916748047e-01 9.958027601242065430e-01 9.961353540420532227e-01
9.923042058944702148e-01 9.957439899444580078e-01 9.960775971412658691e-01
9.921905398368835449e-01 9.956848621368408203e-01 9.960194826126098633e-01
9.920761585235595703e-01 9.956254363059997559e-01 9.959609508514404297e-01
9.919609427452087402e-01 9.955656528472900391e-01 9.959020614624023438e-01
9.918449521064758301e-01 9.955056309700012207e-01 9.958426952362060547e-01
9.917281270027160645e-01 9.954452514648437500e-01 9.957829713821411133e-01
9.916105866432189941e-01 9.953845143318176270e-01 9.957228302955627441e-01
9.914922714233398438e-01 9.953235387802124023e-01 9.956622719764709473e-01
9.913731813430786133e-01 9.952622056007385254e-01 9.956013560295104980e-01
9.912533164024353027e-01 9.952005743980407715e-01 9.955400228500366211e-01
9.911326766014099121e-01 9.951386451721191406e-01 9.954783320426940918e-01
9.910112023353576660e-01 9.950763583183288574e-01 9.954161643981933594e-01
9.908890128135681152e-01 9.950138330459594727e-01 9.953536391258239746e-01
9.907660484313964844e-01 9.949509501457214355e-01 9.952906966209411621e-01
9.906423687934875488e-01 9.948877692222595215e-01 9.952273964881896973e-01
9.905177950859069824e-01 9.948242902755737305e-01 9.951637387275695801e-01
9.903925657272338867e-01 9.947605133056640625e-01 9.950996041297912598e-01
9.902665019035339355e-01 9.946964383125305176e-01 9.950351119041442871e-01
9.901397228240966797e-01 9.946320652961730957e-01 9.949702024459838867e-01
9.900121092796325684e-01 9.945673942565917969e-01 9.949048757553100586e-01
9.898837804794311523e-01 9.945023655891418457e-01 9.948392510414123535e-01
9.897546768188476562e-01 9.944370985031127930e-01 9.947731494903564453e-01
9.896247982978820801e-01 9.943715333938598633e-01 9.947066903114318848e-01
9.894941449165344238e-01 9.943056702613830566e-01 9.946398735046386719e-01
9.893627762794494629e-01 9.942394495010375977e-01 9.945725798606872559e-01
9.892306327819824219e-01 9.941729903221130371e-01 9.945049881935119629e-01
9.890977144241333008e-01 9.941062331199645996e-01 9.944369196891784668e-01
9.889640212059020996e-01 9.940391778945922852e-01 9.943685531616210938e-01
9.888295531272888184e-01 9.939718246459960938e-01 9.942997694015502930e-01
9.886943697929382324e-01 9.939041137695312500e-01 9.942305684089660645e-01
9.885584115982055664e-01 9.938362240791320801e-01 9.941610097885131836e-01
9.884217381477355957e-01 9.937679767608642578e-01 9.940910339355468750e-01
9.882842302322387695e-01 9.936994314193725586e-01 9.940207004547119141e-01
9.881460070610046387e-01 9.936306476593017578e-01 9.939499497413635254e-01
9.880070686340332031e-01 9.935615062713623047e-01 9.938788414001464844e-01
9.878673553466796875e-01 9.934920668601989746e-01 9.938073158264160156e-01
9.877268671989440918e-01 9.934223890304565430e-01 9.937354922294616699e-01
9.875856041908264160e-01 9.933524131774902344e-01 9.936631917953491211e-01
9.874436259269714355e-01 9.932821393013000488e-01 9.935905337333679199e-01
9.873008728027343750e-01 9.932115674018859863e-01 9.935175180435180664e-01
9.871574044227600098e-01 9.931407570838928223e-01 9.934440851211547852e-01
9.870131611824035645e-01 9.930695891380310059e-01 9.933702945709228516e-01
9.868681430816650391e-01 9.929981827735900879e-01 9.932961463928222656e-01
9.867224097251892090e-01 9.929264783859252930e-01 9.932215809822082520e-01
9.865759611129760742e-01 9.928544759750366211e-01 9.931466579437255859e-01
9.864287376403808594e-01 9.927821755409240723e-01 9.930713176727294922e-01
9.862807393074035645e-01 9.927095770835876465e-01 9.929956793785095215e-01
9.861319661140441895e-01 9.926367402076721191e-01 9.929195642471313477e-01
9.859824776649475098e-01 9.925636053085327148e-01 9.928431510925292969e-01
9.858322739601135254e-01 9.924901723861694336e-01 9.927663207054138184e-01
9.856812953948974609e-01 9.924163818359375000e-01 9.926891326904296875e-01
9.855296015739440918e-01 9.923424124717712402e-01 9.926115274429321289e-01
9.853771328926086426e-01 9.922680854797363281e-01 9.925336241722106934e-01
9.852239489555358887e-01 9.921935200691223145e-01 9.924553036689758301e-01
9.850699901580810547e-01 9.921185970306396484e-01 9.923765659332275391e-01
9.849153161048889160e-01 9.920434355735778809e-01 9.922975301742553711e-01
9.847599267959594727e-01 9.919679760932922363e-01 9.922180771827697754e-01
9.846037626266479492e-01 9.918922781944274902e-01 9.921382665634155273e-01
9.844468235969543457e-01 9.918162226676940918e-01 9.920580387115478516e-01
9.842891693115234375e-01 9.917399287223815918e-01 9.919775128364562988e-01
9.841307997703552246e-01 9.916633367538452148e-01 9.918965697288513184e-01
9.839716553688049316e-01 9.915863871574401855e-01 9.918152093887329102e-01
9.838117957115173340e-01 9.915092587471008301e-01 9.917335510253906250e-01
9.836511611938476562e-01 9.914317727088928223e-01 9.916515350341796875e-01
9.834898114204406738e-01 9.913539886474609375e-01 9.915691018104553223e-01
9.833277463912963867e-01 9.912759661674499512e-01 9.914863109588623047e-01
9.831649065017700195e-01 9.911975860595703125e-01 9.914031624794006348e-01
9.830013513565063477e-01 9.911189675331115723e-01 9.913196563720703125e-01
9.828370809555053711e-01 9.910400509834289551e-01 9.912357330322265625e-01
9.826720356941223145e-01 9.909608364105224609e-01 9.911515116691589355e-01
9.825062751770019531e-01 9.908813238143920898e-01 9.910668134689331055e-01
9.823397994041442871e-01 9.908015727996826172e-01 9.909818768501281738e-01
9.821725487709045410e-01 9.907214641571044922e-01 9.908965229988098145e-01
9.820045828819274902e-01 9.906410574913024902e-01 9.908107519149780273e-01
